title,tagline,link,tag,year,image
viewfinder,A single API for most EVM blockchains,https://github.com/vondas-network/viewfinder,code,2021,https://github.com/vondas-network/viewfinder/blob/main/img/viewfinder-logo.png?raw=true
open-source-souls,An instrument that allows humans to listen to the subtleties of catalogued souls on the internet,https://github.com/cskonopka/open-source-souls,art,2020,https://github.com/cskonopka/open-source-souls/raw/main/img/opensourcesouls-logo.png?raw=true
xeno-canto,Bird-based audio sampler using bird sounds from around the globe using Node-for-Max,https://github.com/cskonopka/xeno-canto,art,2020,https://github.com/cskonopka/xeno-canto/raw/main/img/xeno-canto-logo.png?raw=true
autonomous-taxi-tools,Suite of interactive prototypes exploring various HMI interactions,https://github.com/cskonopka/autonomous-taxi-tools/tree/master,code,2020,https://github.com/cskonopka/autonomous-taxi-tools/raw/master/img/autonomous-taxi-tools-logo.png?raw=true
broadcast-research,A research project that explores the use of analog video synthesis as a format for psychological research,https://github.com/cskonopka/broadcast-research,art,2019,https://github.com/cskonopka/broadcast-research/raw/master/img/broadcast-research-logo.png?raw=true
n4m-supplemental,A compendium of Node-for-Max projects meant to be a supplement to the Cycling74 n4m-examples repository,https://github.com/cskonopka/n4m-supplemental,code,2019,https://github.com/cskonopka/n4m-supplemental/raw/master/img/n4m-supplemental-logo.png?raw=true
scopingVoices,"Creative tool for extracting audio and video content from the Periscope using Go, FFmpeg and Twitter",https://github.com/cskonopka/scopingVoices,code,2019,https://github.com/cskonopka/scopingVoices/raw/master/img/scopingVoices-logo.png?raw=true
ansaphone,"Call-in, leave a voicemail for audio remixing",https://github.com/cskonopka/ansaphone,Art,2019,https://github.com/cskonopka/ansaphone/raw/master/img/ansaphone-logo.png?raw=true
ArtOfWarSMS,Send Art of War quotes to friends using Twilio SMS,https://github.com/cskonopka/ArtOfWarSMS,code,2018,https://raw.githubusercontent.com/cskonopka/ArtOfWarSMS/master/img/ArtOfWarSMS-logo.png
twilioElektron,This is an example of how to control an Elektron Octatrack,https://github.com/cskonopka/twilioElektron,code,2018,https://github.com/cskonopka/twilioElektron/raw/master/img/twilioElektron-logo.png?raw=true
rolandP10fp,File preperation script for the Roland's P-10 Image Converter Lite,https://github.com/cskonopka/rolandp10fp,code,2016,https://github.com/cskonopka/rolandp10fp/raw/master/img/rolandp10fp-logo.png?raw=true
arduivis,a bi-directional communication paradigm for programming languages & microcontrollersa bi-directional communication paradigm for programming languages & microcontrollers,https://github.com/cskonopka/arduivis,code,2015,https://github.com/cskonopka/arduivis/raw/master/arduivisJSlogo.png?raw=true
LV-426,"A sonified interpretation of a derelict ship from the film ""Alien""",https://github.com/cskonopka/LV-426,art,2015,https://github.com/cskonopka/LV-426/raw/master/lv426-logo.png?raw=true
Muse,"Muse, created by musician BT and Dr. Richard Boulanger of Berklee, lets you perform ambient music in the air using hand gestures tracked by a Leap Motion Controller",https://www.youtube.com/watch?v=fTWn2vLTMIk,art,2015,https://i.dailymail.co.uk/i/pix/2014/04/04/article-2596906-1CD3886100000578-561_634x441.jpg
generative Breakpoint Envelope,GBE a generative breakpoint envelope for audio and data projects in MaxMSP.,https://github.com/cskonopka/generativeBreakpointEnvelope,art,2014,https://github.com/cskonopka/GBE/raw/master/assets/generative-breakpoint-envelope-logo.png?raw=true
wiiAirDrum,Wii-based Drum Sampler created in MaxMSP for a Music Therapy Development Group (Berklee College of Music),https://github.com/cskonopka/wiiAirDrum,art,2014,https://github.com/cskonopka/wiiAirDrum/raw/master/wiiAirDrum-logo.png?raw=true
opticalSonance,Light Sonification and Drawing Machine Software,https://github.com/cskonopka/opticalSonance,art,2014,https://github.com/cskonopka/opticalSonance/blob/master/v1/Radiation_Drawing%233.JPG?raw=true
Mini-Interactive Tutu,A custom robot for featured in Nona Hendryx’s “Never Alone” with audio responsive lights,https://vimeo.com/224236424, art, 2013,https://github.com/cskonopka/websiter/blob/main/images/tutu.png?raw=true,art,2013,https://vimeo.com/224236424,https://github.com/cskonopka/websiter/blob/main/images/tutu.png?raw=true
