year,event,venue,location
2021,Workflow from Idea to Production: Working with a Media Designer,Studio550,World Wide Web
2021,Guthman Musical Instrument Fair,Georgia Tech,World Wide Web
2019,Node-for-Max Workshop,NYU,NYC
2019,"""videoPainting & the possibilities of analog AI""",Artisan's Asylum,Somerville MA
2019,"""videoPainting & the possibilities of analog AI""",Vidicon,Phoenix AZ
2019,Cellular IoT dev using Node.js & Twilio,c74 Expo 2019 @ MassMoCA,North Adams MA
2019,c74 Expo 2019 Science Fair,c74 Expo 2019 @ MassMoCA,North Adams MA
2015,LZX Presentation for Tom Zicarelli,Berklee College of Music,Boston MA
